BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
17650	1488	11279	107870	116435	RP11-59C5.2	RP13-1021K9.1	CTBP2	KLF8	-	BKLF3|ZNF741	Two-hybrid	physical	van Vliet J (2000)	PUBMED:10756197	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	O95600	Q05BZ3|A0A024R9X4	NP_001311034|NP_009181|NP_001152768|NP_001311031|NP_001311033	-	-	-	-	-	-	Homo sapiens	Homo sapiens
119595	1488	29994	107870	119019	RP11-59C5.2	-	CTBP2	BAZ2B	-	WALp4	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	Q9UIF8	-	NP_001316787|NP_001316786|NP_001276904|NP_038478	-	-	-	-	-	-	Homo sapiens	Homo sapiens
120288	1488	10742	107870	115965	RP11-59C5.2	RP3-389A20.3	CTBP2	RAI2	-	-	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	Q9Y5P3	B3KPD7|A0A024RBZ8|B2RBE9	NP_001166210|NP_001166203|NP_001166214|NP_068557	-	-	-	-	-	-	Homo sapiens	Homo sapiens
120409	1488	7005	107870	112864	RP11-59C5.2	RP1-109F14.4	CTBP2	TEAD3	-	DTEF-1|ETFR-1|TEAD-3|TEAD5|TEF-5|TEF5	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	Q99594	-	NP_003205	-	-	-	-	-	-	Homo sapiens	Homo sapiens
120618	1488	8715	107870	114256	RP11-59C5.2	HRIHFB2255	CTBP2	NOL4	-	CT125|NOLP	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	O94818	B3KRF4|B4DLW2	NP_001269456|NP_003778|NP_001185477|NP_001185476|NP_001185475|NP_001185478	-	-	-	-	-	-	Homo sapiens	Homo sapiens
120709	1488	64400	107870	122157	RP11-59C5.2	-	CTBP2	AKTIP	-	FT1|FTS	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	Q9H8T0	A0A024R6T5|A0A024R6S6	NP_001012398|NP_001295254|NP_071921	-	-	-	-	-	-	Homo sapiens	Homo sapiens
121132	1488	7050	107870	112908	RP11-59C5.2	-	CTBP2	TGIF1	-	HPE4|TGIF	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	Q15583	-	NP_001265613|NP_777480|NP_001265611|NP_003235|NP_001265615|NP_733796|NP_775299|NP_775302|NP_775303|NP_775300|NP_775301	-	-	-	-	-	-	Homo sapiens	Homo sapiens
121452	1488	8204	107870	113843	RP11-59C5.2	-	CTBP2	NRIP1	-	RIP140	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	P48552	A8K171	NP_003480	-	-	-	-	-	-	Homo sapiens	Homo sapiens
121955	1488	9491	107870	114872	RP11-59C5.2	RP4-545L17.1	CTBP2	PSMF1	-	PI31	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	Q92530	Q5QPM7	NP_848693|NP_006805|NP_001310338|NP_001310339|NP_001310336|NP_001310337	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244644	8204	1488	113843	107870	-	RP11-59C5.2	NRIP1	CTBP2	RIP140	-	Reconstituted Complex	physical	Castet A (2004)	PUBMED:15060175	9606	9606	Low Throughput	-	-	Motif PINLS differentially required for in vitro interaction	-	BIOGRID	P48552	A8K171	NP_003480	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245665	1488	4193	107870	110358	RP11-59C5.2	-	CTBP2	MDM2	-	ACTFS|HDMX|hdm2	Reconstituted Complex	physical	Mirnezami AH (2003)	PUBMED:12867035	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	Q00987	A7UKX8|Q96DS0|A7UKX9|A7UKX7|G3XA89	NP_001354919|NP_001265391|NP_002383|NP_001138811|NP_001138812|NP_001138809	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245666	1488	4193	107870	110358	RP11-59C5.2	-	CTBP2	MDM2	-	ACTFS|HDMX|hdm2	Affinity Capture-Western	physical	Mirnezami AH (2003)	PUBMED:12867035	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	Q00987	A7UKX8|Q96DS0|A7UKX9|A7UKX7|G3XA89	NP_001354919|NP_001265391|NP_002383|NP_001138811|NP_001138812|NP_001138809	-	-	-	-	-	-	Homo sapiens	Homo sapiens
278297	8535	1488	114105	107870	-	RP11-59C5.2	CBX4	CTBP2	NBP16|PC2	-	Two-hybrid	physical	Sewalt RG (1999)	PUBMED:9858600	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00257	-	NP_003646	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	-	-	-	-	-	-	Homo sapiens	Homo sapiens
278301	398110	1488	99445	107870	-	RP11-59C5.2	cbx2	CTBP2	cdca6|m33|pc1	-	Two-hybrid	physical	Sewalt RG (1999)	PUBMED:9858600	8355	9606	Low Throughput	-	-	-	-	BIOGRID	-	Q9YHC4	NP_001081900	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	-	-	-	-	-	-	Xenopus laevis	Homo sapiens
278367	398110	1488	99445	107870	-	RP11-59C5.2	cbx2	CTBP2	cdca6|m33|pc1	-	Reconstituted Complex	physical	Sewalt RG (1999)	PUBMED:9858600	8355	9606	Low Throughput	-	-	-	-	BIOGRID	-	Q9YHC4	NP_001081900	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	-	-	-	-	-	-	Xenopus laevis	Homo sapiens
278368	8535	1488	114105	107870	-	RP11-59C5.2	CBX4	CTBP2	NBP16|PC2	-	Affinity Capture-Western	physical	Sewalt RG (1999)	PUBMED:9858600	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00257	-	NP_003646	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	-	-	-	-	-	-	Homo sapiens	Homo sapiens
278369	1488	8535	107870	114105	RP11-59C5.2	-	CTBP2	CBX4	-	NBP16|PC2	Affinity Capture-Western	physical	Sewalt RG (1999)	PUBMED:9858600	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	O00257	-	NP_003646	-	-	-	-	-	-	Homo sapiens	Homo sapiens
278371	1488	1488	107870	107870	RP11-59C5.2	RP11-59C5.2	CTBP2	CTBP2	-	-	Two-hybrid	physical	Sewalt RG (1999)	PUBMED:9858600	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	-	-	-	-	-	-	Homo sapiens	Homo sapiens
278372	1488	1487	107870	107869	RP11-59C5.2	-	CTBP2	CTBP1	-	BARS	Two-hybrid	physical	Sewalt RG (1999)	PUBMED:9858600	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280155	2275	1488	108566	107870	-	RP11-59C5.2	FHL3	CTBP2	SLIM2	-	Two-hybrid	physical	Turner J (2003)	PUBMED:12556451	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13643	Q96C98	NP_004459|NP_001230807	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280161	2275	1488	108566	107870	-	RP11-59C5.2	FHL3	CTBP2	SLIM2	-	Reconstituted Complex	physical	Turner J (2003)	PUBMED:12556451	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13643	Q96C98	NP_004459|NP_001230807	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280163	51274	1488	119426	107870	-	RP11-59C5.2	KLF3	CTBP2	BKLF	-	Affinity Capture-Western	physical	Turner J (2003)	PUBMED:12556451	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P57682	A0A024R9T8	NP_057615	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	-	-	-	-	-	-	Homo sapiens	Homo sapiens
286378	55553	1488	120714	107870	-	RP11-59C5.2	SOX6	CTBP2	HSSOX6|SOXD	-	Two-hybrid	physical	Murakami A (2001)	PUBMED:11504872	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P35712	-	NP_001139283|NP_001139291|NP_059978|NP_201583	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	-	-	-	-	-	-	Homo sapiens	Homo sapiens
286379	1488	55553	107870	120714	RP11-59C5.2	-	CTBP2	SOX6	-	HSSOX6|SOXD	Affinity Capture-Western	physical	Murakami A (2001)	PUBMED:11504872	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	P35712	-	NP_001139283|NP_001139291|NP_059978|NP_201583	-	-	-	-	-	-	Homo sapiens	Homo sapiens
289255	1488	51274	107870	119426	RP11-59C5.2	-	CTBP2	KLF3	-	BKLF	Reconstituted Complex	physical	Turner J (1998)	PUBMED:9724649	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	P57682	A0A024R9T8	NP_057615	-	-	-	-	-	-	Homo sapiens	Homo sapiens
289256	1488	51274	107870	119426	RP11-59C5.2	-	CTBP2	KLF3	-	BKLF	Two-hybrid	physical	Turner J (1998)	PUBMED:9724649	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	P57682	A0A024R9T8	NP_057615	-	-	-	-	-	-	Homo sapiens	Homo sapiens
314513	1488	6935	107870	112796	RP11-59C5.2	RP11-472N13.4	CTBP2	ZEB1	-	AREB6|BZP|DELTAEF1|FECD6|NIL2A|PPCD3|TCF8|ZFHEP|ZFHX1A	Affinity Capture-Western	physical	Postigo AA (1999)	PUBMED:10359772	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	P37275	B2RBI8	NP_001310586|NP_001310604|NP_001310592|NP_001310589|NP_001310588|NP_001310587|NP_001310605|NP_001310585|NP_001310607|NP_001310583|NP_001310601|NP_001310581|NP_001310603|NP_001167565|NP_001167564|NP_001167567|NP_001167566|NP_001310600|NP_001310582|NP_001310576|NP_001310577|NP_001310574|NP_001310575|NP_001310572|NP_001310573|NP_001310570|NP_001310571|NP_001310580|NP_001310578|NP_001310579|NP_001310584|NP_001310594|NP_001310595|NP_001310590|NP_001310591|NP_001121600|NP_001310593|NP_110378|NP_001310602|NP_001310567|NP_001310606	-	-	-	-	-	-	Homo sapiens	Homo sapiens
316104	1488	23414	107870	116986	RP11-59C5.2	-	CTBP2	ZFPM2	-	DIH3|FOG2|SRXY9|ZC2HC11B|ZNF89B|hFOG-2	Reconstituted Complex	physical	Holmes M (1999)	PUBMED:10438528	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	Q8WW38	Q9NPQ0	NP_036214	-	-	-	-	-	-	Homo sapiens	Homo sapiens
316105	1488	23414	107870	116986	RP11-59C5.2	-	CTBP2	ZFPM2	-	DIH3|FOG2|SRXY9|ZC2HC11B|ZNF89B|hFOG-2	Two-hybrid	physical	Holmes M (1999)	PUBMED:10438528	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	Q8WW38	Q9NPQ0	NP_036214	-	-	-	-	-	-	Homo sapiens	Homo sapiens
316123	1488	11279	107870	116435	RP11-59C5.2	RP13-1021K9.1	CTBP2	KLF8	-	BKLF3|ZNF741	Reconstituted Complex	physical	van Vliet J (2000)	PUBMED:10756197	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	O95600	Q05BZ3|A0A024R9X4	NP_001311034|NP_009181|NP_001152768|NP_001311031|NP_001311033	-	-	-	-	-	-	Homo sapiens	Homo sapiens
467710	1488	1488	107870	107870	RP11-59C5.2	RP11-59C5.2	CTBP2	CTBP2	-	-	Affinity Capture-Western	physical	Zhao LJ (2009)	PUBMED:19754958	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	-	-	-	-	-	-	Homo sapiens	Homo sapiens
467711	1488	2033	107870	108347	RP11-59C5.2	RP1-85F18.1	CTBP2	EP300	-	KAT3B|RSTS2|p300	Affinity Capture-Western	physical	Zhao LJ (2009)	PUBMED:19754958	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	Q09472	Q7Z6C1	NP_001349772|NP_001420	-	-	-	-	-	-	Homo sapiens	Homo sapiens
467712	1488	6935	107870	112796	RP11-59C5.2	RP11-472N13.4	CTBP2	ZEB1	-	AREB6|BZP|DELTAEF1|FECD6|NIL2A|PPCD3|TCF8|ZFHEP|ZFHX1A	Affinity Capture-Western	physical	Zhao LJ (2009)	PUBMED:19754958	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	P37275	B2RBI8	NP_001310586|NP_001310604|NP_001310592|NP_001310589|NP_001310588|NP_001310587|NP_001310605|NP_001310585|NP_001310607|NP_001310583|NP_001310601|NP_001310581|NP_001310603|NP_001167565|NP_001167564|NP_001167567|NP_001167566|NP_001310600|NP_001310582|NP_001310576|NP_001310577|NP_001310574|NP_001310575|NP_001310572|NP_001310573|NP_001310570|NP_001310571|NP_001310580|NP_001310578|NP_001310579|NP_001310584|NP_001310594|NP_001310595|NP_001310590|NP_001310591|NP_001121600|NP_001310593|NP_110378|NP_001310602|NP_001310567|NP_001310606	-	-	-	-	-	-	Homo sapiens	Homo sapiens
467713	1488	10919	107870	116123	RP11-59C5.2	DAAP-66K18.3	CTBP2	EHMT2	-	BAT8|C6orf30|G9A|GAT8|KMT1C|NG36	Affinity Capture-Western	physical	Zhao LJ (2009)	PUBMED:19754958	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	Q96KQ7	B7Z852|A2ABF8|A2ABF9|A0A024RCN9	NP_006700|NP_001350618|NP_001276342|NP_079532|NP_001305762	-	-	-	-	-	-	Homo sapiens	Homo sapiens
467714	1488	7764	107870	113547	RP11-59C5.2	RP4-724E16.3	CTBP2	ZNF217	-	ZABC1	Affinity Capture-Western	physical	Zhao LJ (2009)	PUBMED:19754958	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	O75362	H0UI66	NP_006517	-	-	-	-	-	-	Homo sapiens	Homo sapiens
467715	1488	23186	107870	116796	RP11-59C5.2	-	CTBP2	RCOR1	-	COREST|RCOR	Affinity Capture-Western	physical	Zhao LJ (2009)	PUBMED:19754958	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	Q9UKL0	J3KN32	NP_055971	-	-	-	-	-	-	Homo sapiens	Homo sapiens
467716	1488	3066	107870	109316	RP11-59C5.2	-	CTBP2	HDAC2	-	HD2|RPD3|YAF1	Affinity Capture-Western	physical	Zhao LJ (2009)	PUBMED:19754958	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	Q92769	-	NP_001518	-	-	-	-	-	-	Homo sapiens	Homo sapiens
472011	3090	1488	109337	107870	-	RP11-59C5.2	HIC1	CTBP2	ZBTB29|ZNF901|hic-1	-	Two-hybrid	physical	Van Rechem C (2009)	PUBMED:19486893	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q14526	A0PJI1	NP_001091672|NP_006488	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	-	-	-	-	-	-	Homo sapiens	Homo sapiens
472014	3090	1488	109337	107870	-	RP11-59C5.2	HIC1	CTBP2	ZBTB29|ZNF901|hic-1	-	Affinity Capture-Western	physical	Van Rechem C (2009)	PUBMED:19486893	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q14526	A0PJI1	NP_001091672|NP_006488	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	-	-	-	-	-	-	Homo sapiens	Homo sapiens
478052	10919	1488	116123	107870	DAAP-66K18.3	RP11-59C5.2	EHMT2	CTBP2	BAT8|C6orf30|G9A|GAT8|KMT1C|NG36	-	Affinity Capture-Western	physical	Ueda J (2006)	PUBMED:16702210	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96KQ7	B7Z852|A2ABF8|A2ABF9|A0A024RCN9	NP_006700|NP_001350618|NP_001276342|NP_079532|NP_001305762	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	-	-	-	-	-	-	Homo sapiens	Homo sapiens
478054	79813	1488	122908	107870	RP11-188C12.1	RP11-59C5.2	EHMT1	CTBP2	EUHMTASE1|Eu-HMTase1|FP13812|GLP|GLP1|KMT1D|bA188C12.1	-	Affinity Capture-Western	physical	Ueda J (2006)	PUBMED:16702210	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9H9B1	-	NP_001138999|NP_079033	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	-	-	-	-	-	-	Homo sapiens	Homo sapiens
478056	58525	1488	121845	107870	-	RP11-59C5.2	WIZ	CTBP2	ZNF803	-	Affinity Capture-Western	physical	Ueda J (2006)	PUBMED:16702210	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O95785	M0QXA7	NP_001358518|NP_067064|NP_001317324|NP_001358532	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	-	-	-	-	-	-	Homo sapiens	Homo sapiens
478057	13016	1488	198961	107870	-	RP11-59C5.2	Ctbp1	CTBP2	BARS|CtBP1-L|CtBP1-S|CtBP3/BARS|D4S115h|D5H4S115|D5H4S115E	-	Affinity Capture-Western	physical	Ueda J (2006)	PUBMED:16702210	10090	9606	Low Throughput	-	-	-	-	BIOGRID	O88712	-	NP_001185790|NP_038530|NP_001185789|NP_001185788|NP_001297464	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	-	-	-	-	-	-	Mus musculus	Homo sapiens
483226	1488	84458	107870	124093	RP11-59C5.2	-	CTBP2	LCOR	-	MLR2	Affinity Capture-Western	physical	Fernandes I (2003)	PUBMED:12535528	9606	9606	Low Throughput	-	-	Bioluminescence resonance energy transfer	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	Q96JN0	-	NP_001333445|NP_115816|NP_001164236|NP_001164237	-	-	-	-	-	-	Homo sapiens	Homo sapiens
519770	7764	1488	113547	107870	RP4-724E16.3	RP11-59C5.2	ZNF217	CTBP2	ZABC1	-	Affinity Capture-Western	physical	Kuppuswamy M (2008)	PUBMED:17967884	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O75362	H0UI66	NP_006517	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	-	-	-	-	-	-	Homo sapiens	Homo sapiens
543690	8850	1488	114375	107870	-	RP11-59C5.2	KAT2B	CTBP2	CAF|P/CAF|PCAF	-	Affinity Capture-Western	physical	Shimahara A (2010)	PUBMED:20363750	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92831	-	NP_003875	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	-	-	-	-	-	-	Homo sapiens	Homo sapiens
555268	602	1488	107074	107870	-	RP11-59C5.2	BCL3	CTBP2	BCL4|D19S37	-	Affinity Capture-MS	physical	Keutgens A (2010)	PUBMED:20547759	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P20749	-	NP_005169	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	-	-	-	-	-	-	Homo sapiens	Homo sapiens
555272	602	1488	107074	107870	-	RP11-59C5.2	BCL3	CTBP2	BCL4|D19S37	-	Affinity Capture-Western	physical	Keutgens A (2010)	PUBMED:20547759	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P20749	-	NP_005169	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	-	-	-	-	-	-	Homo sapiens	Homo sapiens
